asset_id,categories,category_count,primary_category
constitutiondao,Meme;Ethereum Ecosystem;PolitiFi,3,Meme
wrapped-nxm,Crypto-Backed Tokens;Decentralized Finance (DeFi);Insurance;Wrapped-Tokens;Ethereum Ecosystem;Blockchain Capital Portfolio,6,Decentralized Finance (DeFi)
arpa,BNB Chain Ecosystem;Polygon Ecosystem;Ethereum Ecosystem;Animoca Brands Portfolio;DWF Labs Portfolio;YZi Labs (Prev. Binance Labs) Portfolio,6,BNB Chain Ecosystem
power-ledger,Energy;Ethereum Ecosystem;Alleged SEC Securities;Energi Ecosystem;GMCI DePIN Index;Blockchain Capital Portfolio;GMCI Index,7,GMCI DePIN Index
illuvium,Gaming (GameFi);NFT;Metaverse;Play To Earn;Ethereum Ecosystem;Animoca Brands Portfolio;RPG;Gaming Governance Token;Adventure Games;Energi Ecosystem;Delphi Ventures Portfolio,11,Gaming (GameFi)
pepe,BNB Chain Ecosystem;Meme;Arbitrum Ecosystem;Ethereum Ecosystem;Frog-Themed;GMCI Meme Index;GMCI Index;The Boy’s Club;4chan-Themed,9,Meme
tron,Smart Contract Platform;Layer 1 (L1);Alleged SEC Securities;FTX Holdings;DWF Labs Portfolio;Tron Ecosystem;Proof of Stake (PoS);GMCI Layer 1 Index;GMCI 30 Index;GMCI Index;World Liberty Financial Portfolio;Made in China,12,Layer 1 (L1)
floki,Gaming (GameFi);NFT;BNB Chain Ecosystem;Metaverse;Meme;Play To Earn;Ethereum Ecosystem;Telegram Apps;Dog-Themed;DWF Labs Portfolio;RPG;On-chain Gaming;TokenFi Launchpad;GMCI Meme Index;GMCI Index,15,Meme
bitcoin,Smart Contract Platform;Layer 1 (L1);FTX Holdings;Proof of Work (PoW);Bitcoin Ecosystem;GMCI 30 Index;GMCI Index;Coinbase 50 Index,8,Layer 1 (L1)
aioz-network,Artificial Intelligence (AI);Smart Contract Platform;Storage;BNB Chain Ecosystem;Layer 1 (L1);Ethereum Ecosystem;DePIN;DWF Labs Portfolio;Osmosis Ecosystem;GMCI DePIN Index;GMCI Index,11,Layer 1 (L1)
ava-ai,Artificial Intelligence (AI);Solana Ecosystem;Meme;AI Meme;AI Agents;Pump.fun Ecosystem;Binance Alpha Spotlight;Made in USA,8,Meme
prisma-governance-token,Decentralized Finance (DeFi);Lending/Borrowing Protocols;Ethereum Ecosystem;LSDFi;Curve Ecosystem;Stablecoin Protocol;Liquid Staking,7,Decentralized Finance (DeFi)
avalanche-2,Smart Contract Platform;Layer 1 (L1);Avalanche Ecosystem;Proof of Stake (PoS);DragonFly Capital Portfolio;DeFiance Capital Portfolio;Andreessen Horowitz (a16z) Portfolio;GMCI Layer 1 Index;GMCI 30 Index;Galaxy Digital Portfolio;GMCI Index;Polychain Capital Portfolio;World Liberty Financial Portfolio;Made in USA;Coinbase 50 Index,15,DeFiance Capital Portfolio
thorchain,Decentralized Exchange (DEX);Infrastructure;Smart Contract Platform;Exchange-based Tokens;Decentralized Finance (DeFi);Bridge Governance Tokens;Multicoin Capital Portfolio;Proof of Stake (PoS);Delphi Ventures Portfolio,9,Decentralized Finance (DeFi)
sonic-3,Smart Contract Platform;Layer 1 (L1);Galaxy Digital Portfolio;Sonic Ecosystem,4,Layer 1 (L1)
hedera-hashgraph,Smart Contract Platform;Layer 1 (L1);Hedera Ecosystem;GMCI Layer 1 Index;GMCI 30 Index;GMCI Index;Outlier Ventures Portfolio;Made in USA;Directed Acyclic Graph (DAG),9,Layer 1 (L1)
ethereum-classic,Smart Contract Platform;Layer 1 (L1);Proof of Work (PoW);Coinbase 50 Index,4,Layer 1 (L1)
botto,Artificial Intelligence (AI);NFT;Ethereum Ecosystem;Base Ecosystem;AI Agents,5,NFT
